rank,title,year,rating,genres
18,weiner,2016,96,documentary
19,inside job,2010,98,documentary
20,the missing picture,2014,99,documentary
21,deliver us from evil,2006,100,documentary
22,seymour: an introduction,2015,100,documentary
23,rbg,2018,95,documentary
24,anvil! the story of anvil,2009,98,documentary
25,jiro dreams of sushi,2012,99,documentary
26,bright lights: starring carrie fisher and debbie reynolds,2017,100,documentary
27,the square,2013,100,documentary
28,waste land,2010,100,documentary
29,hoop dreams,1994,98,documentary
30,"mr. death: the rise and fall of fred a. leuchter, jr.",1999,100,documentary
31,strong island,2017,100,documentary
32,afghan star,2009,100,documentary
33,capturing the friedmans,2003,97,documentary
34,waltz with bashir,2008,96,documentary
35,iris,2015,98,documentary
36,the overnighters,2014,99,documentary
37,jodorowsky's dune,2014,97,documentary
38,the interrupters,2011,99,documentary
39,how to survive a plague,2012,99,documentary
40,march of the penguins,2005,95,documentary
41,56 up,2013,99,documentary
42,last train home,2010,100,documentary
43,the invisible war,2012,99,documentary
44,kurt cobain: montage of heck,2015,98,documentary
45,project nim,2011,97,documentary
46,spellbound,2002,97,documentary
47,everyday sunshine: the story of fishbone,2011,100,documentary
48,nostalgia for the light,2011,100,documentary
49,we were here,2011,100,documentary
50,enron: the smartest guys in the room,2005,97,documentary
51,bill cunningham new york,2011,99,documentary
52,the look of silence,2015,96,documentary
53,rivers and tides: andy goldsworthy working with time,2002,99,documentary
54,when we were kings,1996,98,documentary
55,the act of killing,2013,95,documentary
56,13th,2016,97,documentary
57,this is not a film,2012,97,documentary
58,elaine stritch: shoot me,2014,98,documentary
59,hitchcock/truffaut,2015,96,documentary
60,the king of kong: a fistful of quarters,2007,97,documentary
61,the fog of war: eleven lessons from the life of robert s. mcnamara,2003,96,documentary
62,bowling for columbine,2002,95,documentary
63,the imposter,2012,96,documentary
64,the war tapes,2006,98,documentary
65,cave of forgotten dreams,2011,96,documentary
66,west of memphis,2012,96,documentary
67,the beatles: eight days a week - the touring years,2016,96,documentary
68,ai weiwei: never sorry,2012,97,documentary
69,beware of mr. baker,2012,98,documentary
70,jafar panahi's taxi,2015,96,documentary
71,marwencol,2010,98,documentary
72,undefeated,2012,96,documentary
73,sicko,2007,92,documentary
74,finders keepers,2015,98,documentary
75,mea maxima culpa: silence in the house of god,2012,98,documentary
76,blindsight,2006,98,documentary
77,sound city,2013,98,documentary
78,the devil came on horseback,2007,98,documentary
79,call me kuchu,2013,98,documentary
80,the island president,2012,98,documentary
81,for the bible tells me so,2007,98,documentary
82,welcome to leith,2015,98,documentary
83,keep on keepin' on,2014,98,documentary
84,let the fire burn,2013,98,documentary
85,restrepo,2010,96,documentary
86,the life and times of hank greenberg,2000,97,documentary
87,born to be wild,2011,98,documentary
88,surfwise,2007,98,documentary
89,"lo and behold, reveries of the connected world",2016,94,documentary
90,bus 174,2003,97,documentary
91,stories we tell,2013,94,documentary
92,wordplay,2006,95,documentary
93,control room,2004,96,documentary
94,burma vj: reporter i et lukket land,2008,97,documentary
95,no end in sight,2007,96,documentary
96,49 up,2006,97,documentary
97,the cove,2009,95,documentary
98,winged migration,2003,95,documentary
99,muscle shoals,2013,96,documentary
100,the queen of versailles,2012,95,documentary
1,black panther,2018,97,drama
2,lady bird,2017,99,drama
3,citizen kane,1941,100,drama
4,blackkklansman,2018,95,drama
5,moonlight,2016,98,drama
6,wonder woman,2017,93,drama
7,all about eve,1950,100,drama
8,metropolis,1927,99,drama
9,a quiet place,2018,95,drama
10,spotlight,2015,97,drama
11,dunkirk,2017,92,drama
12,selma,2015,99,drama
13,casablanca,1942,97,drama
14,la grande illusion,1938,97,drama
15,the godfather,1972,98,drama
16,call me by your name,2018,95,drama
17,arrival,2016,94,drama
18,leave no trace,2018,100,drama
19,star wars: the last jedi,2017,91,drama
20,logan,2017,93,drama
21,the shape of water,2017,92,drama
22,boyhood,2014,97,drama
23,the maltese falcon,1941,100,drama
24,gravity,2013,96,drama
25,12 years a slave,2013,95,drama
26,argo,2012,96,drama
27,repulsion,1965,100,drama
28,sunset boulevard,1950,98,drama
29,thor: ragnarok,2017,92,drama
30,rear window,1954,100,drama
31,the battle of algiers,1967,98,drama
32,baby driver,2017,93,drama
33,the florida project,2017,96,drama
34,alien,1979,97,drama
35,la la land,2016,91,drama
36,manchester by the sea,2016,95,drama
37,bicycle thieves,1949,98,drama
38,m,1931,100,drama
39,taxi driver,1976,98,drama
40,touch of evil,1958,96,drama
41,seven samurai,1956,100,drama
42,spider-man: homecoming,2017,92,drama
43,all quiet on the western front,1930,100,drama
44,hell or high water,2016,97,drama
45,war for the planet of the apes,2017,93,drama
46,12 angry men,1957,100,drama
47,the treasure of the sierra madre,1948,100,drama
48,"three billboards outside ebbing, missouri",2017,91,drama
49,the babadook,2014,98,drama
50,a streetcar named desire,1951,98,drama
51,vertigo,1958,96,drama
52,the 400 blows,1959,100,drama
53,rebecca,1940,100,drama
54,brooklyn,2015,97,drama
55,the night of the hunter,1955,98,drama
56,lawrence of arabia,1962,98,drama
57,army of shadows,1969,97,drama
58,the dark knight,2008,94,drama
59,the death of stalin,2018,96,drama
60,the wrestler,2008,98,drama
61,rashômon,1951,98,drama
62,jaws,1975,97,drama
63,the wages of fear,1953,100,drama
64,l.a. confidential,1997,99,drama
65,creed,2015,95,drama
66,open city,1946,100,drama
67,on the waterfront,1954,98,drama
68,harry potter and the deathly hallows - part 2,2011,96,drama
69,the grapes of wrath,1940,100,drama
70,tokyo story,1953,100,drama
71,the big sleep,1946,97,drama
72,roman holiday,1953,98,drama
73,the hurt locker,2009,97,drama
74,the last picture show,1971,100,drama
75,cool hand luke,1967,100,drama
76,the leopard,1963,100,drama
77,star wars: episode iv - a new hope,1977,93,drama
78,paterson,2016,96,drama
79,phantom thread,2018,91,drama
80,room,2015,94,drama
81,hidden figures,2017,93,drama
82,"i, tonya",2018,89,drama
83,"the godfather, part ii",1974,97,drama
84,chinatown,1974,98,drama
85,battleship potemkin,1925,100,drama
86,the searchers,1956,100,drama
87,the post,2018,88,drama
88,anatomy of a murder,1959,100,drama
89,gone with the wind,1939,92,drama
90,carol,2015,94,drama
91,nightcrawler,2014,95,drama
92,star trek,2009,94,drama
93,before midnight,2013,98,drama
94,the conformist,1970,98,drama
95,au hasard balthazar,1966,100,drama
96,things to come,2016,100,drama
97,the red shoes,1948,96,drama
98,schindler's list,1993,97,drama
99,la dolce vita,1960,97,drama
100,sweet smell of success,1957,98,drama
1,get out,2017,98,horror
2,the cabinet of dr. caligari,1920,100,horror
3,a quiet place,2018,95,horror
4,psycho,1960,97,horror
5,king kong,1933,98,horror
6,"nosferatu, a symphony of horror",1922,97,horror
7,repulsion,1965,100,horror
8,the bride of frankenstein,1935,100,horror
9,the babadook,2014,98,horror
10,rosemary's baby,1968,99,horror
11,frankenstein,1931,100,horror
12,aliens,1986,99,horror
13,it follows,2015,96,horror
14,let the right one in,2008,98,horror
15,night of the living dead,1968,97,horror
16,hereditary,2018,89,horror
17,eyes without a face,1962,98,horror
18,freaks,1932,94,horror
19,the witch,2016,91,horror
20,the silence of the lambs,1991,96,horror
21,pan's labyrinth,2006,95,horror
22,evil dead 2: dead by dawn,1987,98,horror
23,the birds,1963,96,horror
24,halloween,1978,95,horror
25,gojira,1956,93,horror
26,don't look now,1973,96,horror
27,the vanishing,1988,98,horror
28,the innocents,1961,96,horror
29,the cabin in the woods,2012,91,horror
30,a girl walks home alone at night,2014,96,horror
31,drag me to hell,2009,92,horror
32,it,2017,85,horror
33,invasion of the body snatchers,1978,94,horror
34,the evil dead,1981,95,horror
35,the endless,2018,95,horror
36,carrie,1976,93,horror
37,re-animator,1985,95,horror
38,young frankenstein,1974,93,horror
39,the loved ones,2012,98,horror
40,nosferatu: phantom der nacht,1979,94,horror
41,the love witch,2016,95,horror
42,room 237,2013,94,horror
43,suspiria,1977,93,horror
44,train to busan,2016,95,horror
45,a nightmare on elm street,1984,94,horror
46,shaun of the dead,2004,92,horror
47,the host,2007,93,horror
48,dracula,1931,91,horror
49,the fly,1986,92,horror
50,zombieland,2009,90,horror
51,what ever happened to baby jane?,1962,92,horror
52,cam,2018,94,horror
53,eraserhead,1977,91,horror
54,it comes at night,2017,87,horror
55,dawn of the dead,1979,93,horror
56,don't breathe,2016,88,horror
57,phantom of the opera,1925,91,horror
58,we are still here,2015,95,horror
59,the wicker man,1973,90,horror
60,little shop of horrors,1986,90,horror
61,the texas chainsaw massacre,1974,88,horror
62,let me in,2010,88,horror
63,frankenweenie,2012,87,horror
64,upgrade,2018,87,horror
65,halloween,2018,79,horror
66,the blair witch project,1999,87,horror
67,the exorcist,1973,86,horror
68,the conjuring,2013,86,horror
69,the dead zone,1983,90,horror
70,bone tomahawk,2015,91,horror
71,misery,1990,89,horror
72,the shining,1980,86,horror
73,cronos,1994,90,horror
74,the orphanage,2007,87,horror
75,28 days later,2003,86,horror
76,gerald's game,2017,90,horror
