title,user_score,year,duration,country,usa_gross,world_gross
ying chun ge zhi fengbo,72.0,1973,105,"Taiwan, Hong Kong",4295,4295
my kingdom,61.0,2001,117,"Italy, UK",4296,4296
mei ren yi jiu,53.0,2005,87,"China, USA, Hong Kong",4298,4298
tito e os pássaros,65.0,2018,73,Brazil,4332,4332
the party's just beginning,61.0,2018,91,UK,4145,4371
ang babaeng humayo,73.0,2016,226,Philippines,3974,4373
the catechism cataclysm,56.0,2011,75,USA,4373,4373
between us,47.0,2012,90,USA,4380,4380
aprimi il cuore,52.0,2002,93,Italy,4381,4381
"a cool, dry place",62.0,1998,97,USA,4390,4390
30-love,62.0,2017,103,USA,4392,4392
the truth about emanuel,60.0,2013,95,"USA, Mexico",4404,4404
sgt. will gardner,59.0,2019,125,USA,4405,4405
coffee date,62.0,2006,91,USA,4412,4412
jeanne et le garçon formidable,65.0,1998,98,France,4417,4417
the ministers,45.0,2009,89,USA,4447,4447
weightless,57.0,2017,93,USA,4461,4461
looking for kitty,60.0,2004,95,USA,4480,4480
synchronicity,55.0,2015,101,USA,4505,4505
das haus der schlafenden schönen,51.0,2006,99,Germany,4509,4509
ahí va el diablo,56.0,2012,97,Mexico,4534,4534
blue juice,53.0,1995,90,UK,4535,4535
the tollbooth,54.0,2004,85,USA,4546,4546
a boy called po,66.0,2016,95,USA,4550,4550
all is bright,56.0,2013,107,USA,4556,4556
laura smiles,58.0,2005,98,USA,4558,4558
hit list,56.0,1989,87,USA,4564,4564
along the roadside,67.0,2013,108,USA,1352,4586
the automatic hate,63.0,2015,97,USA,4603,4603
kaosu,66.0,2000,90,Japan,4608,4608
shakespeare-wallah,68.0,1965,120,"USA, India",4650,4650
i love you both,42.0,2016,90,USA,4661,4661
the long dumb road,61.0,2018,90,USA,4667,4667
der tiger von eschnapur,67.0,1959,101,"West Germany, France, Italy",4673,4673
das indische grabmal,67.0,1959,102,"West Germany, France, Italy",4673,4673
the empty mirror,63.0,1996,118,USA,4688,4688
against the sun,65.0,2014,100,USA,4646,4698
shot,54.0,2017,89,USA,4701,4701
secret society,54.0,2000,98,"UK, Germany",4725,4725
tre,47.0,2006,87,USA,4759,4759
søndagsengler,68.0,1996,103,Norway,4769,4769
high stakes,44.0,1989,102,USA,4780,4780
50 ways of saying fabulous,56.0,2005,90,New Zealand,4800,4800
high times potluck,48.0,2002,90,USA,4827,4827
crepitus,34.0,2018,83,USA,4846,4846
en kærlighedshistorie,68.0,2001,93,Denmark,4847,4847
nô,70.0,1998,85,Canada,4868,4868
tore tanzt,69.0,2013,110,Germany,4870,4870
revelation road 2: the sea of glass and fire,51.0,2013,90,USA,4871,4871
guidance,62.0,2014,81,Canada,4900,4900
supporting characters,63.0,2012,87,USA,4917,4917
sbk: the movie,72.0,2014,84,USA,4950,4950
morrer como um homem,64.0,2009,134,"Portugal, France",4029,4955
reach the rock,68.0,1998,100,USA,4960,4960
bringing up bobby,51.0,2011,93,"USA, Netherlands, UK",4975,4975
dark meridian,46.0,2017,91,USA,4800,5000
newlyweds,63.0,2011,95,USA,5000,5000
perfect pie,58.0,2002,92,Canada,5000,5000
the garden,65.0,1990,92,"UK, Germany, Japan",5006,5006
social animals,52.0,2018,90,USA,5007,5007
the texture of falling,68.0,2018,75,USA,5010,5010
the sleepwalker,49.0,2014,91,"Norway, USA",5012,5012
les choses de la vie,76.0,1970,89,"Switzerland, France, Italy",5063,5063
notes on an appearance,55.0,2018,60,USA,5065,5065
my dinner with andre,78.0,1981,110,USA,5073,5073
tanner hall,58.0,2009,96,USA,5073,5073
lamb,65.0,1985,110,UK,5076,5076
welcome to happiness,61.0,2015,108,USA,5083,5083
bad lucky goat,69.0,2017,76,Colombia,5088,5088
crimewave,57.0,1985,83,USA,5101,5101
the strip,72.0,2009,91,USA,5107,5107
return to nuke 'em high volume 1,55.0,2013,85,USA,5122,5122
body at brighton rock,52.0,2019,87,USA,5123,5123
turn the river,58.0,2007,92,USA,5149,5149
100 acres of hell,28.0,2019,85,USA,5152,5152
and they're off,38.0,2011,90,USA,5154,5154
lakeboat,61.0,2000,98,"Canada, USA",5159,5159
irish eyes,48.0,2004,112,USA,5161,5161
cold around the heart,51.0,1997,96,USA,5171,5171
death valley,37.0,2015,88,USA,5211,5211
la princesa de francia,60.0,2014,67,Argentina,5212,5212
home room,72.0,2002,133,USA,5216,5216
room,44.0,2005,75,USA,5228,5228
speed-dating,25.0,2010,98,USA,5240,5240
de mayerling à sarajevo,67.0,1940,95,France,5247,5247
when the wind blows,77.0,1986,84,UK,5274,5274
the time being,55.0,2012,85,USA,5274,5274
she's lost control,53.0,2014,90,USA,5319,5319
hair high,68.0,2004,78,USA,5342,5342
particles of truth,68.0,2003,101,USA,5348,5348
say uncle,55.0,2005,91,USA,5361,5361
hatsujô kateikyôshi: sensei no aijiru,58.0,2003,90,Japan,5383,5383
dog days of summer,56.0,2007,88,USA,5383,5383
the prince of pennsylvania,58.0,1988,87,USA,5415,5415
unnatural & accidental,47.0,2006,90,Canada,5420,5420
brudermord,67.0,2005,90,"Luxembourg, Germany, France",5428,5428
nights and weekends,61.0,2008,80,USA,5430,5430
coming soon,45.0,1999,96,USA,5453,5453
race you to the bottom,50.0,2005,73,USA,5468,5468
streets of legend,25.0,2003,96,USA,5471,5471
the man from earth: holocene,53.0,2017,98,USA,5472,5472
caravaggio,66.0,1986,93,UK,3774,5478
the first $20 million is always the hardest,56.0,2002,105,USA,5491,5491
icaros: a vision,60.0,2016,91,"Peru, USA",5510,5510
the living,61.0,2014,89,USA,5514,5514
are we not cats,58.0,2016,77,USA,5518,5518
kid cannabis,64.0,2014,110,USA,5565,5565
série noire,76.0,1979,111,France,5633,5633
the roost,49.0,2005,80,USA,5642,5642
this isn't funny,63.0,2015,86,USA,5654,5654
knife fight,51.0,2012,100,USA,5661,5661
intervention,48.0,2007,93,UK,279,5681
knockin' on heaven's door,80.0,1997,87,Germany,5710,5710
das fräulein,67.0,2006,81,"Switzerland, Germany, Bosnia and Herzegovina",5715,5715
pizza,57.0,2005,80,USA,5716,5716
save the date,58.0,2012,97,USA,5719,5719
sueño,52.0,2005,108,"USA, Mexico",5729,5729
jailbait,58.0,2004,90,USA,5741,5741
a dark truth,56.0,2012,106,Canada,5750,5750
undrafted,64.0,2016,90,USA,5777,5777
black november,53.0,2012,95,"Nigeria, USA",5782,5782
five dances,71.0,2013,83,USA,5788,5788
choose connor,63.0,2007,109,USA,5788,5788
emile,64.0,2003,92,"Canada, UK",5799,5799
djöflaeyjan,72.0,1996,99,"Iceland, Germany, Norway, Denmark",5814,5814
bourek,75.0,2015,90,"Cyprus, Greece, USA, Serbia",5844,5844
buzzkill,45.0,2012,94,USA,5860,5860
december,59.0,1991,93,USA,5868,5868
the imperialists are still alive!,60.0,2010,90,"USA, UK",5874,5874
infliction,55.0,2014,100,USA,5875,5875
